iter	Logloss
0	0.4075838225
1	0.2878002729
2	0.2193739461
3	0.1930620844
4	0.1791784566
5	0.170933764
6	0.1606231365
7	0.1513086111
8	0.1463484076
9	0.1426637887
10	0.1390637212
11	0.1346177083
12	0.13233436
13	0.1287480186
14	0.1266892982
15	0.1248517337
16	0.1228600248
17	0.1211693585
18	0.1194150149
19	0.1173706696
20	0.1157336882
21	0.1141931472
22	0.1129723564
23	0.1114315737
24	0.110273415
25	0.1091113426
26	0.1076490339
27	0.1065235625
28	0.1052833506
29	0.104166459
30	0.1032187662
31	0.1024158212
32	0.1017145048
33	0.1004430729
34	0.09959550604
35	0.09878586334
36	0.09647469353
37	0.09528007074
38	0.09439909931
39	0.09360924887
40	0.09298157186
41	0.09175266955
42	0.09115792222
43	0.08981799195
44	0.08897964388
45	0.08836903066
46	0.08787291182
47	0.08713861933
48	0.08661454009
49	0.08609548881
50	0.0840433358
51	0.08295733297
52	0.08167871295
53	0.08060142309
54	0.07988976803
55	0.07949959556
56	0.07905182422
57	0.07858228037
58	0.07738997388
59	0.0769801835
60	0.0759387489
61	0.07520666154
62	0.07476584641
63	0.07439235422
64	0.07312376193
65	0.07278175039
66	0.07205092416
67	0.07175199538
68	0.07148054662
69	0.07122372395
70	0.07072440989
71	0.06978904965
72	0.06942408245
73	0.06895344349
74	0.06866483265
75	0.06841682873
76	0.06818146895
77	0.06794478755
78	0.06772494983
79	0.06739463203
80	0.06694026249
81	0.0667260847
82	0.06613197872
83	0.06554317474
84	0.06475075947
85	0.06452610582
86	0.06399209387
87	0.06379842491
88	0.06337748182
89	0.06310931273
90	0.0622352736
91	0.06204080371
92	0.06118802627
93	0.06093318725
94	0.06075245925
95	0.0605772912
96	0.06014651847
97	0.05995582924
98	0.0593730345
99	0.05886763983
100	0.05863497876
101	0.05846980051
102	0.05780832409
103	0.05732084968
104	0.05711046287
105	0.05681897072
106	0.0566634934
107	0.0562629231
108	0.05603305701
109	0.05588583565
110	0.05539003897
111	0.05474184622
112	0.05459866245
113	0.05442753397
114	0.05428808543
115	0.05376753625
116	0.05323101044
117	0.05290507435
118	0.05276949622
119	0.05255686478
120	0.05196868226
121	0.05183472876
122	0.05141753239
123	0.05120193185
124	0.05083944483
125	0.05072155739
126	0.05055699477
127	0.05017379852
128	0.05006060482
129	0.0499421467
130	0.04953492872
131	0.04935762244
132	0.04877565413
133	0.04866856998
134	0.04842347546
135	0.04831721259
136	0.04821559818
137	0.04780656433
138	0.04748790241
139	0.04727455426
140	0.04700574077
141	0.04683928698
142	0.04674064144
143	0.04646866746
144	0.04629442507
145	0.04586456597
146	0.04554421976
147	0.04531017025
148	0.04521200841
149	0.04503128536
150	0.04470237513
151	0.04460990599
152	0.04428267323
153	0.04417882165
154	0.04377121628
155	0.0436838102
156	0.04351898432
157	0.04341776795
158	0.04289564954
159	0.04281121245
160	0.04269638485
161	0.042533807
162	0.04232184516
163	0.04222021119
164	0.04183711539
165	0.04169628837
166	0.04138902621
167	0.0413002555
168	0.04122294793
169	0.04094163535
170	0.04070010261
171	0.04055099633
172	0.04047673929
173	0.03988844017
174	0.03979900032
175	0.03951689972
176	0.03943280269
177	0.03930468394
178	0.0391848484
179	0.03895282189
180	0.03886743731
181	0.03878339008
182	0.03866451418
183	0.03859010437
184	0.0382179063
185	0.03815242026
186	0.03807908523
187	0.0378972137
188	0.03773710282
189	0.03762436847
190	0.03741724901
191	0.03730273586
192	0.03705833549
193	0.03694800663
194	0.03687918432
195	0.03661471672
196	0.03634430808
197	0.03622465658
198	0.03615598213
199	0.0360973524
200	0.03589139283
201	0.03583320995
202	0.03563691198
203	0.03544592707
204	0.03536435612
205	0.03509511996
206	0.03501574436
207	0.03495042019
208	0.03489591595
209	0.03475246548
210	0.03448923302
211	0.03439783051
212	0.03414454718
213	0.03408075375
214	0.03397590102
215	0.0338696006
216	0.03360955291
217	0.03355660868
218	0.03340637231
219	0.03325994492
220	0.03319017903
221	0.03314115153
222	0.03305427628
223	0.03280326679
224	0.0327509907
225	0.03250346067
226	0.03236217891
227	0.03203346351
228	0.03187545335
229	0.03178737711
230	0.03171582164
231	0.0316439622
232	0.03157873177
233	0.03132142842
234	0.0312117412
235	0.03116333393
236	0.03097945896
237	0.03080929764
238	0.03073359231
239	0.03058878095
240	0.03044556472
241	0.03025927187
242	0.03021275045
243	0.03016514692
244	0.03011846685
245	0.02986873841
246	0.02974738551
247	0.02970291945
248	0.02950218816
249	0.02942173802
250	0.02937983773
251	0.02927322713
252	0.02903826061
253	0.02898781359
254	0.02875741673
255	0.02870629605
256	0.02866414892
257	0.02852101436
258	0.02831181726
259	0.02827178265
260	0.02802721067
261	0.02786399426
262	0.02767372476
263	0.02763195886
264	0.02759404273
265	0.02753174027
266	0.02738328801
267	0.02728558161
268	0.02724739343
269	0.02720263759
270	0.02713959306
271	0.02703716679
272	0.02688413555
273	0.02669785269
274	0.02663299543
275	0.02659795838
276	0.02634455414
277	0.02630902942
278	0.02623191492
279	0.02595080039
280	0.02591827419
281	0.02585779977
282	0.02580391696
283	0.02574994011
284	0.02565813137
285	0.02554294967
286	0.02548138717
287	0.02544647543
288	0.02538982618
289	0.02535817277
290	0.02532619857
291	0.02524763994
292	0.02517197405
293	0.0249497499
294	0.02491842319
295	0.02485921504
296	0.02477499411
297	0.02474350971
298	0.02447648026
299	0.02442050596
